quarters,datetime,country,district_code,district,centx,centy,year_month,ipc,ha,ndvi_mean,ndvi_anom,rain_mean,rain_anom,et_mean,et_anom,count_violence,sum_fatalities,food_price_idx,area,cropland_pct,pop,ruggedness_mean,pasture_pct,date,province,administrative_region
2009Q3,2009-07-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2009_07,2.0,,0.6602323491452992,95.45101200854701,20.618259414529916,-6.334019572222222,22.41508403846154,-3.861314221752137,0.23504273504273504,2.1452991452991452,0.9733424333333333,8109.035211538462,18.570145728076923,124554.42307692308,33427.480307692305,80.55583743589743,2009-07-01,Greater Upper Nile,Greater Upper Nile
2009Q4,2009-10-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2009_10,2.0,,0.48747205384615383,91.45970987179487,5.7601089808547,-1.6070227926666667,8.358915137179487,-2.406035856324787,0.2264957264957265,1.3376068376068375,0.9872233132478633,8109.035211538462,18.570145728076923,124554.42307692308,33427.480307692305,80.55583743589743,2009-10-01,Greater Upper Nile,Greater Upper Nile
2010Q1,2010-01-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2010_01,1.0,,0.3175231303418804,95.16104717948718,2.245784623769231,0.3591305623356838,1.3895719944700855,-0.05907648451709402,0.14102564102564102,1.606837606837607,0.9975558123931625,8109.035211538462,18.570145728076923,129585.7564102564,33427.480307692305,80.55583743589743,2010-01-01,Greater Upper Nile,Greater Upper Nile
2010Q2,2010-04-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2010_04,2.0,,0.4740496205128205,92.37492282051282,17.538399784615386,-0.02668593897435898,12.081725338205127,-1.3316471468888889,0.2863247863247863,1.5299145299145298,1.0555633205128205,8109.035211538462,18.570145728076923,129585.7564102564,33427.480307692305,80.55583743589743,2010-04-01,Greater Upper Nile,Greater Upper Nile
2010Q3,2010-07-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2010_07,2.0,,0.6916064568376068,100.27120423076924,27.752438846153847,0.8001598667948717,28.04666082051282,1.770262592991453,0.1111111111111111,0.44871794871794873,1.0709665705128206,8109.035211538462,18.570145728076923,129585.7564102564,33427.480307692305,80.55583743589743,2010-07-01,Greater Upper Nile,Greater Upper Nile
2010Q4,2010-10-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2010_10,2.0,,0.5467205508547008,103.45478760683761,8.233451901666665,0.8663200070555556,13.052810767820512,2.287859792252137,0.13675213675213677,0.31196581196581197,1.1360490025641026,8109.035211538462,18.570145728076923,129585.7564102564,33427.480307692305,80.55583743589743,2010-10-01,Greater Upper Nile,Greater Upper Nile
2011Q1,2011-01-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2011_01,1.0,,0.3266832594017094,98.73349341880342,1.3830028355641024,-0.5036512517839744,1.348388364397436,-0.10026011346581196,0.23504273504273504,2.623931623931624,1.2170777303418803,8109.035211538462,18.570145728076923,135454.94871794872,33427.480307692305,80.55583743589743,2011-01-01,Greater Upper Nile,Greater Upper Nile
2011Q2,2011-04-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2011_04,1.0,,0.47047376282051284,92.35464354700855,17.13619462991453,-0.4288911011538462,12.289729659017093,-1.1236430971367521,0.2692307692307692,6.782051282051282,1.3464788230769231,8109.035211538462,18.570145728076923,135454.94871794872,33427.480307692305,80.55583743589743,2011-04-01,Greater Upper Nile,Greater Upper Nile
2011Q3,2011-07-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2011_07,2.0,,0.6995141914529914,101.58976405982905,29.839427606837607,2.887148729059829,28.482375803418805,2.205977149700855,0.12393162393162394,9.5,1.610803482905983,8109.035211538462,18.570145728076923,135454.94871794872,33427.480307692305,80.55583743589743,2011-07-01,Greater Upper Nile,Greater Upper Nile
2011Q4,2011-10-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2011_10,1.0,,0.5590456170940171,105.6018744017094,8.368287934444444,1.0011561833333333,14.023278213247862,3.258327125837607,0.13675213675213677,4.32051282051282,1.7627078162393164,8109.035211538462,18.570145728076923,135454.94871794872,33427.480307692305,80.55583743589743,2011-10-01,Greater Upper Nile,Greater Upper Nile
2012Q1,2012-01-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2012_01,2.0,,0.3074899209401709,92.8886473076923,1.1295135317521368,-0.7571405428437608,0.7385905878247863,-0.710057860508547,0.1623931623931624,12.705128205128204,1.8556616794871794,8109.035211538462,18.570145728076923,141324.02564102566,33427.480307692305,80.55583743589743,2012-01-01,Greater Upper Nile,Greater Upper Nile
2012Q2,2012-04-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2012_04,2.0,0.10256410256410256,0.49657259529914527,96.90244923076924,19.424378792735045,1.8592931453076924,15.461406460256411,2.0480341338418806,0.3162393162393162,0.5897435897435898,2.146437688034188,8109.035211538462,18.570145728076923,141324.02564102566,33427.480307692305,80.55583743589743,2012-04-01,Greater Upper Nile,Greater Upper Nile
2012Q3,2012-07-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2012_07,2.0,0.05128205128205128,0.7101398551282051,103.47281282051283,31.197349444444445,4.245070818675214,31.093738846153848,4.817340354316239,0.1581196581196581,0.8888888888888888,2.0721779188034186,8109.035211538462,18.570145728076923,141324.02564102566,33427.480307692305,80.55583743589743,2012-07-01,Greater Upper Nile,Greater Upper Nile
2012Q4,2012-10-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2012_10,2.0,0.07692307692307693,0.5430253461538461,103.00863534188035,9.10235586034188,1.7352240250641024,14.867440202564103,4.102489295991453,0.2863247863247863,1.2863247863247864,2.205509320512821,8109.035211538462,18.570145728076923,141324.02564102566,33427.480307692305,80.55583743589743,2012-10-01,Greater Upper Nile,Greater Upper Nile
2013Q1,2013-01-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2013_01,1.0,0.01282051282051282,0.3519987918803419,105.77500452991454,2.316582292128205,0.42992832991965807,2.909715776277778,1.4610673797222222,0.36324786324786323,2.923076923076923,2.0315757435897437,8109.035211538462,18.570145728076923,147193.12820512822,33427.480307692305,80.55583743589743,2013-01-01,Greater Upper Nile,Greater Upper Nile
2013Q2,2013-04-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2013_04,2.0,0.0641025641025641,0.5023763542735042,99.03680324786325,20.426912435042734,2.861826506623932,12.989234559905983,-0.42413804336752137,0.37606837606837606,1.7264957264957266,2.0054702777777775,8109.035211538462,18.570145728076923,147193.12820512822,33427.480307692305,80.55583743589743,2013-04-01,Greater Upper Nile,Greater Upper Nile
2013Q3,2013-07-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2013_07,2.0,0.08974358974358974,0.7034201085470085,102.17913294871794,27.663039213675216,0.7107599295726497,28.338797307692307,2.0623989983846154,0.26495726495726496,1.8504273504273505,2.0568054957264956,8109.035211538462,18.570145728076923,147193.12820512822,33427.480307692305,80.55583743589743,2013-07-01,Greater Upper Nile,Greater Upper Nile
2013Q4,2013-10-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2013_10,1.0,0.02564102564102564,0.5621355534188034,106.48598427350427,7.322533966025641,-0.04459766691025641,13.711738496581198,2.946787454700855,0.7094017094017094,12.61111111111111,2.052114388888889,8109.035211538462,18.570145728076923,147193.12820512822,33427.480307692305,80.55583743589743,2013-10-01,Greater Upper Nile,Greater Upper Nile
2014Q1,2014-01-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2014_01,2.0,0.02564102564102564,0.36423023632478635,109.71771521367522,2.3800299156709404,0.49337585664188033,2.4238421547008544,0.9751937305854701,1.6025641025641026,8.717948717948717,2.1503483034188036,8109.035211538462,18.570145728076923,153062.1923076923,33427.480307692305,80.55583743589743,2014-01-01,Greater Upper Nile,Greater Upper Nile
2014Q2,2014-04-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2014_04,2.0,0.038461538461538464,0.5711368158119658,115.60623384615384,21.275200414529913,3.710114711153846,19.2791607991453,5.865788164487179,1.0982905982905984,6.1923076923076925,2.203390696581197,8109.035211538462,18.570145728076923,153062.1923076923,33427.480307692305,80.55583743589743,2014-04-01,Greater Upper Nile,Greater Upper Nile
2014Q3,2014-07-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2014_07,3.0,0.038461538461538464,0.6980430098290599,101.45743294871795,26.300547388888887,-0.6517320672350427,29.47765358119658,3.2012554153846153,0.9230769230769231,5.564102564102564,2.2010202051282053,8109.035211538462,18.570145728076923,153062.1923076923,33427.480307692305,80.55583743589743,2014-07-01,Greater Upper Nile,Greater Upper Nile
2014Q4,2014-10-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2014_10,2.0,0.02564102564102564,0.5617267333333333,106.93380282051281,8.002542244444443,0.635410543017094,14.730961843162394,3.9660109846153846,0.5982905982905983,6.444444444444445,2.2523842649572647,8109.035211538462,18.570145728076923,153062.1923076923,33427.480307692305,80.55583743589743,2014-10-01,Greater Upper Nile,Greater Upper Nile
2015Q1,2015-01-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2015_01,2.0,0.15384615384615385,0.3671272405982906,110.7576864957265,2.4385025078333333,0.5518484846461538,2.630200083888889,1.1815516558076922,0.782051282051282,3.1196581196581197,2.2354940598290596,8109.035211538462,18.570145728076923,158931.26923076922,33427.480307692305,80.55583743589743,2015-01-01,Greater Upper Nile,Greater Upper Nile
2015Q2,2015-04-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2015_04,2.0,0.20512820512820512,0.5615394948717949,112.79096414529916,17.552439933760684,-0.012645975641025636,16.426738193418803,3.0133659387606837,1.0085470085470085,4.666666666666667,2.723029363247863,8109.035211538462,18.570145728076923,158931.26923076922,33427.480307692305,80.55583743589743,2015-04-01,Greater Upper Nile,Greater Upper Nile
2015Q3,2015-07-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2015_07,2.0,0.01282051282051282,0.6845622547008546,99.20372038461538,24.514817858974357,-2.437461027423077,25.385655179487177,-0.8907431143974358,0.9615384615384616,3.9358974358974357,3.435002452991453,8109.035211538462,18.570145728076923,158931.26923076922,33427.480307692305,80.55583743589743,2015-07-01,Greater Upper Nile,Greater Upper Nile
2015Q4,2015-10-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2015_10,2.0,0.02564102564102564,0.5390623286324786,102.40662487179488,9.592813024188034,2.2256811377435897,11.016792905555555,0.25184187739316244,0.8717948717948718,3.6025641025641026,3.9710347735042735,8109.035211538462,18.570145728076923,158931.26923076922,33427.480307692305,80.55583743589743,2015-10-01,Greater Upper Nile,Greater Upper Nile
2016Q1,2016-01-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2016_01,2.0,0.08974358974358974,0.3292429696581196,99.41528683760684,2.8323320911666667,0.9456779298,1.6178566726153847,0.1692082127692308,0.7393162393162394,2.2735042735042734,5.47850417948718,8109.035211538462,18.570145728076923,163522.83333333334,33427.480307692305,80.55583743589743,2016-01-01,Greater Upper Nile,Greater Upper Nile
2016Q2,2016-04-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2016_04,2.0,0.01282051282051282,0.5432131128205129,108.23715658119659,20.826703287606836,3.2616175410555557,17.245605954700856,3.8322333519444447,0.6837606837606838,2.717948717948718,7.534327405982906,8109.035211538462,18.570145728076923,163522.83333333334,33427.480307692305,80.55583743589743,2016-04-01,Greater Upper Nile,Greater Upper Nile
2016Q3,2016-07-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2016_07,,,0.7044093072649572,102.20199863247863,24.13380687179487,-2.818472142948718,29.710275717948715,3.4338773336153845,1.358974358974359,6.739316239316239,10.961886452991454,8109.035211538462,18.570145728076923,163522.83333333334,33427.480307692305,80.55583743589743,2016-07-01,Greater Upper Nile,Greater Upper Nile
2016Q4,2016-10-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2016_10,3.0,0.10256410256410256,0.5094641175213676,96.19291038461537,6.579961870042736,-0.7871700297521368,8.686797551452992,-2.0781535124316237,1.4188034188034189,4.521367521367521,16.435100247863247,8109.035211538462,18.570145728076923,163522.83333333334,33427.480307692305,80.55583743589743,2016-10-01,Greater Upper Nile,Greater Upper Nile
2017Q1,2017-01-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2017_01,2.0,0.1282051282051282,0.333522397008547,100.6808223931624,1.6816971998162393,-0.2049568578923077,1.068317176871795,-0.3803312806452992,1.3461538461538463,5.162393162393163,21.000416111111115,8109.035211538462,18.570145728076923,168114.35897435897,33427.480307692305,80.55583743589743,2017-01-01,Greater Upper Nile,Greater Upper Nile
2017Q2,2017-04-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2017_04,3.0,0.16666666666666666,0.5163940747863248,102.08674995726496,17.672460623931624,0.1073749250854701,14.473117674786325,1.0597451481752136,1.5726495726495726,6.200854700854701,28.96849893162393,8109.035211538462,18.570145728076923,168114.35897435897,33427.480307692305,80.55583743589743,2017-04-01,Greater Upper Nile,Greater Upper Nile
2017Q3,2017-07-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2017_07,,,0.7167721568376069,104.12909794871796,29.258397136752137,2.306118579145299,29.89708311965812,3.620684473760684,1.1111111111111112,4.5256410256410255,33.78386025641026,8109.035211538462,18.570145728076923,168114.35897435897,33427.480307692305,80.55583743589743,2017-07-01,Greater Upper Nile,Greater Upper Nile
2017Q4,2017-10-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2017_10,2.0,0.2564102564102564,0.5693712465811966,107.70284632478632,6.492345981282051,-0.8747856637478633,13.502612695555557,2.7376615703247866,1.1495726495726495,4.547008547008547,33.275861880341886,8109.035211538462,18.570145728076923,168114.35897435897,33427.480307692305,80.55583743589743,2017-10-01,Greater Upper Nile,Greater Upper Nile
2018Q1,2018-01-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2018_01,3.0,0.19230769230769232,0.35840292264957263,108.02540141025642,3.213518208551282,1.3268640322059828,2.6349029907649575,1.186254459739316,0.9102564102564102,2.0085470085470085,36.5406402991453,8109.035211538462,18.570145728076923,172705.8205128205,33427.480307692305,80.55583743589743,2018-01-01,Greater Upper Nile,Greater Upper Nile
2018Q2,2018-04-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2018_04,3.0,0.6538461538461539,0.55185882008547,109.6894632051282,20.075906976923076,2.510821287645299,16.978343602136754,3.5649711576452994,1.0,2.1794871794871793,44.23910431623931,8109.035211538462,18.570145728076923,172705.8205128205,33427.480307692305,80.55583743589743,2018-04-01,Greater Upper Nile,Greater Upper Nile
2018Q3,2018-07-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2018_07,,,0.7067834991452991,102.64041196581196,26.633662547008544,-0.3186166624358974,25.74605541025641,-0.5303430461965812,0.717948717948718,1.4871794871794872,49.82112948717948,8109.035211538462,18.570145728076923,172705.8205128205,33427.480307692305,80.55583743589743,2018-07-01,Greater Upper Nile,Greater Upper Nile
2018Q4,2018-10-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2018_10,3.0,0.2564102564102564,0.526239926923077,99.05290709401709,6.8439815188888895,-0.5231504394444444,9.935774796153845,-0.8291761861495727,0.7735042735042735,0.905982905982906,51.94699235042735,8109.035211538462,18.570145728076923,172705.8205128205,33427.480307692305,80.55583743589743,2018-10-01,Greater Upper Nile,Greater Upper Nile
2019Q1,2019-01-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2019_01,3.0,0.10256410256410256,0.33316846752136753,100.2574285042735,1.5993479141709401,-0.27772856671282053,0.9986989092564104,-0.4469563894017094,0.5470085470085471,2.2051282051282053,55.81187388888889,8109.035211538462,18.570145728076923,177297.42307692306,33427.480307692305,80.55583743589743,2019-01-01,Greater Upper Nile,Greater Upper Nile
2019Q2,2019-04-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2019_04,3.0,0.19230769230769232,0.5013714692307693,98.91667683760684,20.815697893162394,3.250612010803419,13.329149008846153,-0.07307088363247861,0.5128205128205128,1.2606837606837606,65.14513457264957,8109.035211538462,18.570145728076923,177297.42307692306,33427.480307692305,80.55583743589743,2019-04-01,Greater Upper Nile,Greater Upper Nile
2019Q3,2019-07-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2019_07,,,0.7291675841880342,106.20506478632478,27.300943508547007,0.34866423331196583,30.89894098290598,4.622542619230769,0.5299145299145299,1.435897435897436,73.20894914529916,8109.035211538462,18.570145728076923,177297.42307692306,33427.480307692305,80.55583743589743,2019-07-01,Greater Upper Nile,Greater Upper Nile
2019Q4,2019-10-01,South Sudan,112.5,Bor,30.552041282051285,7.325734564102564,2019_10,3.0,0.24358974358974358,0.6024293833333333,115.27635136752136,9.551539750811965,2.184407964402436,17.645727120555556,6.880775828675214,0.452991452991453,0.905982905982906,81.89246051282052,8109.035211538462,18.570145728076923,177297.42307692306,33427.480307692305,80.55583743589743,2019-10-01,Greater Upper Nile,Greater Upper Nile
2020Q1,2020-01-01,South Sudan,112.5,Bor,30.552041282051285,7.3257345641025635,2020_01,3.0,0.16666666666666666,0.40033338076923075,121.68424942307693,0.6008834183247179,-0.083892906773145,3.6265323869871793,2.569395751455128,0.7884615384615384,1.544871794871795,87.34318993589744,8109.035211538461,18.570145728076923,181839.6182051282,33427.48030769231,80.55583743589743,2020-01-01,Greater Upper Nile,Greater Upper Nile
